joptsimple.ArgumentAcceptingOptionSpec.withValuesConvertedBy(ValueConverter<T>);joptsimple.ArgumentAcceptingOptionSpecTest.rejectsNullConverter();;
joptsimple.ArgumentAcceptingOptionSpec.withValuesSeparatedBy(char);joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroAsCharValueSeparatorForRequiredArgument();joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroAsCharValueSeparatorForOptionalArgument();
joptsimple.ArgumentAcceptingOptionSpec.withValuesSeparatedBy(String);joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroInStringValueSeparatorForRequiredArgument();joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroInStringValueSeparatorForOptionalArgument();
joptsimple.util.DateConverter.DateConverter(DateFormat);joptsimple.util.DateConverterTest.rejectsNullDateFormatter();joptsimple.util.DateConverterTest.shouldConvertValuesToDatesUsingADateFormat();joptsimple.util.DateConverterTest.shouldRaiseExceptionThatContainsDatePatternAndValue()
joptsimple.util.KeyValuePair.valueOf(String);joptsimple.JVMSystemPropertiesArgumentParsingTest.parsingJVMSystemPropertiesArguments();joptsimple.ToStringTest.objectsAndStringRepresentations();
joptsimple.OptionSet.asMap();joptsimple.OptionSetAsMapTest.gives();;
joptsimple.OptionSet.valuesOf(OptionSpec<V>);joptsimple.HandlingDefaultValuesForOptionArgumentsTest.optionalArgOptionWithDefaultGivesDefaultIfArgNotSpecifiedOnCommandLine();;
joptsimple.OptionSpecBuilder.availableIf(String,String...);joptsimple.AvailableIfUnlessTest.configureParser();joptsimple.AvailableIfUnlessTest.rejectsOptionNotAlreadyConfigured();
joptsimple.OptionSpecBuilder.availableUnless(String,String...);joptsimple.AvailableUnlessAnyTest.configureParser();
joptsimple.OptionSpecBuilder.requiredIf(String,String...);joptsimple.RequiredIfAnyTest.configureParser();joptsimple.RequiredIfTest.configureParser();joptsimple.RequiredIfTest.rejectsOptionNotAlreadyConfigured()
